match_id, player_slot, account_id, hero_id, kills, deaths, assists, gold_per_min, xp_per_min, last_hits, denies, hero_damage, tower_damage, hero_healing, level, net_worth, item_0, item_1, item_2, item_3, item_4, item_5, backpack_0, backpack_1, backpack_2, team
8565529113,128,73638322,8,2,9,4,364,357,121,11,16682,730,528,13,9900,36,137,50,0,0,11,0,0,0,dire
8565529113,129,211885023,111,0,12,5,178,228,19,3,6548,0,1914,10,4841,36,180,254,0,218,0,0,0,0,dire
8565529113,130,1558327223,2,4,9,4,405,662,113,0,16388,0,0,18,11016,127,29,1,73,21,8,12,0,0,dire
8565529113,131,115031773,105,6,18,2,406,350,57,1,13144,0,0,13,11043,180,232,218,41,77,77,37,0,0,dire
8565529113,132,1111148368,73,0,5,2,379,357,164,1,3373,0,0,13,10308,145,170,63,178,21,0,0,0,0,dire
8565528409,0,208832967,25,14,4,15,608,743,135,2,26633,6301,0,20,18006,0,41,63,1,249,36,0,0,0,radiant
8565528409,1,317711754,54,8,2,11,638,797,240,10,11258,10500,1586,21,18895,63,137,168,247,73,154,0,0,0,radiant
8565528409,2,1021121008,20,6,3,30,441,736,47,7,13462,2332,0,20,13060,36,229,102,214,81,232,0,0,0,radiant
8565528409,3,1145925155,96,10,4,24,597,759,160,5,19160,2651,0,20,17681,12,1,114,214,73,119,0,0,0,radiant
8565528409,4,154603488,53,11,5,22,646,800,199,0,24535,7198,2279,21,19132,127,267,166,108,55,63,4204,0,0,radiant
8565528409,128,1475095501,6,2,10,1,400,523,182,19,6527,1183,0,16,11846,63,152,102,36,188,596,0,0,0,dire
8565528409,129,1047607650,109,6,7,7,446,495,177,2,8511,1104,0,16,13209,63,147,263,596,36,0,0,0,0,dire
8565528409,130,168449983,45,7,10,7,350,399,37,1,23559,1552,2862,14,10365,244,102,254,57,36,180,11,188,0,dire
8565528409,131,222998767,75,1,14,7,272,360,56,2,11965,216,0,13,8055,214,65,36,73,102,244,17,0,0,dire
8565528409,132,1771596081,99,1,10,6,363,401,140,12,22762,0,0,14,10750,73,127,11,77,63,226,0,216,0,dire
8565528012,0,286481080,34,6,12,4,409,609,81,8,16524,0,0,17,11588,34,77,108,1,1107,77,0,0,0,radiant
8565528012,1,23706484,45,1,11,6,249,363,45,1,15210,1216,0,13,7055,0,44,16,254,0,0,0,0,0,radiant
8565528012,2,327706598,77,2,10,6,346,314,93,13,9971,0,0,12,9803,116,151,240,63,0,0,0,0,0,radiant
8565528012,3,849377088,8,3,9,3,467,504,215,12,12919,19,707,16,13231,34,147,22,63,16,145,0,16,0,radiant
8565528012,4,125419068,114,3,14,3,323,380,99,16,11458,0,0,13,9151,63,598,36,75,1575,40,0,0,0,radiant
8565528012,128,62036549,88,9,4,24,402,615,28,6,17411,1187,0,17,11390,0,202,36,180,0,0,0,0,0,dire
8565528012,129,91539145,40,13,5,23,625,601,149,7,34979,6208,0,17,17708,108,263,36,100,63,1575,0,0,0,dire
8565528012,130,372105745,11,20,2,15,715,881,195,10,24584,9114,0,21,20258,108,63,41,277,116,1,95,0,0,dire
8565528012,131,196986983,14,9,3,19,556,675,144,3,19005,2177,125,18,15753,1,73,50,119,73,108,0,0,0,dire
8565528012,132,202907360,7,3,2,34,446,629,83,6,15642,7571,0,18,12636,36,223,218,102,180,100,0,0,0,dire
8565527918,0,1898440742,53,11,0,13,784,622,249,9,18858,11709,125,15,17156,263,158,36,77,63,168,0,0,0,radiant
8565527918,1,1758207935,11,10,2,11,562,607,122,15,15627,2932,0,15,12298,1,36,73,37,63,277,41,0,0,radiant
8565527918,2,141027057,2,11,3,12,595,656,121,6,16223,1114,0,16,13020,1,127,50,36,20,108,0,0,0,radiant
8565527918,3,1847119164,128,8,2,13,372,428,24,3,7717,1261,0,12,8140,218,180,36,254,40,223,0,0,0,radiant
8565527918,4,824483146,100,3,0,19,313,421,27,5,8089,657,0,12,6849,0,1,180,34,181,0,0,0,0,radiant
8565527918,128,1536268133,63,2,5,0,283,469,89,3,6332,0,0,13,6192,267,36,75,75,75,75,0,0,0,dire
8565527918,129,1895351490,13,1,10,0,230,288,55,4,9412,0,0,10,5033,0,77,63,36,41,0,0,0,0,dire
8565527918,130,1899083599,42,0,9,2,261,313,72,2,4868,0,0,10,5711,73,151,50,0,73,0,0,0,0,dire
8565527918,131,1738521071,95,1,10,4,376,362,122,13,9036,164,0,11,8228,145,244,18,36,22,63,0,0,0,dire
8565527918,132,219882322,89,2,10,4,277,359,42,1,7026,10,0,11,6061,180,34,11,218,38,75,0,0,0,dire
8565527805,0,1647623131,71,5,7,40,461,807,53,2,12142,0,125,21,14291,50,65,152,123,0,0,0,188,0,radiant
8565527805,1,450669978,67,13,5,38,643,927,167,18,37558,2558,0,23,19933,98,63,147,117,108,1802,36,0,0,radiant
8565527805,2,170948491,53,20,5,34,779,900,213,6,45834,242,808,22,24149,63,250,267,1,263,36,0,43,0,radiant
8565527805,3,1052896799,129,11,2,28,607,902,181,7,24622,525,3032,22,18817,1,100,50,36,116,73,0,0,0,radiant
8565527805,4,416449505,128,23,1,27,584,835,100,8,27333,1135,400,21,18104,180,0,176,36,108,1,0,0,0,radiant
8565527805,128,411900578,100,4,14,9,345,433,53,2,11096,71,0,15,10695,180,11,1,100,40,9,34,0,0,dire
8565527805,129,877306748,106,8,13,8,445,566,108,5,25462,73,0,18,13795,23,267,50,41,36,116,4204,19,0,dire
8565527805,130,450132356,135,4,16,7,400,473,132,4,19632,102,5607,16,12400,108,11,226,36,178,50,0,0,0,dire
8565527805,131,204181127,10,2,12,4,397,478,173,13,13975,214,400,16,12307,63,147,11,236,36,26,0,0,0,dire
8565527805,132,171756008,31,2,18,10,278,384,19,2,10986,0,0,14,8618,36,102,218,40,188,214,0,0,0,dire
8565527615,0,349099017,34,11,1,3,740,789,240,6,14908,2043,0,18,18019,41,223,108,1,232,0,0,0,0,radiant
8565527615,1,914590788,15,8,1,10,611,613,167,18,16070,5294,0,16,14877,911,34,50,596,98,154,0,0,0,radiant
8565527615,2,193205423,104,12,4,12,544,462,105,3,10700,7774,2448,14,13246,127,36,73,63,1,116,0,0,0,radiant
8565527615,3,146682677,7,5,0,15,370,465,35,1,7247,989,125,14,9009,34,0,1,21,180,218,23,0,0,radiant
8565527615,4,1169863422,84,3,0,17,407,455,40,2,9207,8062,125,14,9910,254,36,223,180,65,0,0,0,0,radiant
8565527615,128,143084256,8,2,13,2,335,274,104,5,9284,0,310,10,8157,50,145,36,75,43,22,0,0,0,dire
